Date,Headline,Sentiment,Predicted Sentiment
2024-09-26,China Weighs Injecting $142 Billion of Capital Into Top Banks,positive,
2024-09-26,Tesla’s Potential ‘Best Quarter’ in China Raises Expectations,positive,
2024-09-26,NYC Mayor Eric Adams Hit With Historic Federal Indictment,negative,
2024-09-26,ID Theft And False Credit Applications Drive 54% Surge In Auto Fraud: Equifax Canada,negative,
2024-09-26,"Does The Gen Z ""Doom Spending"" Trend Explain Why Retail Sales Haven't Collapsed Yet?",neutral,
2024-09-26,"Flutter sees profits doubling by 2027, authorises $5 bln share buyback",positive,
2024-09-26,Georgia’s Parliament Speaker Decries US Snub of Prime Minister,negative,
2024-09-26,"US confidence wobble weighs, China buoyed",negative,
2024-09-26,"Buy now, pay later discounts drive holiday spending",positive,
2024-09-26,Mexican Lawmakers Back Military’s Takeover of the National Guard,negative,
2024-09-26,The $6.3 Trillion Money-Market Industry Just Got Its First ETF,positive,
2024-09-26,"Banks must refund fraud up to £85,000 in five days",positive,
2024-09-26,"S&P 500, Dow tick higher as investors keep watchful eye on economy",neutral,
2024-09-26,What China's stimulus boost means for US investors,neutral,
2024-09-26,Warren Buffett's Berkshire Hathaway keeps selling more Bank of America stock,negative,
2024-09-26,Europe’s Landlords Turn to Equity Markets as Optimism Returns,positive,
2024-09-26,The Counter-Constitutional Movement: The Assault On America's Defining Principles,negative,
2024-09-26,Brexit Champion Gove to Edit ‘Tory Bible’ Spectator Magazine,neutral,
2024-09-26,Economy is ‘seeing signs’ of a slowing labor market: Jake Oubina,negative,
2024-09-26,"Merrill Lynch, Harvest Volatility Management to pay $9.3 mln to settle SEC charges",negative,
2024-09-26,Russia Ramps Up Arctic Oil Tanker Shipping to a New Record,positive,
2024-09-26,"SEC charges Merrill Lynch, Harvest Volatility Management for ignoring client investment limits",negative,
2024-09-26,Top US Gas Producer EQT Sees AI as Biggest New Source of Demand,positive,
2024-09-26,Petrol prices fall to lowest for three years,positive,
2024-09-26,Crypto market likely to take off amid political pandering: Shah Gilani,neutral,
2024-09-26,'Opportunity' or 'horror show': 2 radically different visions,neutral,
2024-09-26,Harley-Davidson recalls 41K motorcycles over wiring issue that could cause loss of power,negative,
2024-09-26,Behind OpenAI’s Audacious Plan to Make A.I. Flow Like Electricity,positive,
2024-09-26,EU Official Says Bloc Is Not In Talks on Gas Transit Via Ukraine,neutral,
2024-09-26,Vanguard's new CEO eyes fixed income offering expansion,positive,
2024-09-26,"Texas Warns Venezuelan Prison Gang ""Activity Happening Across State""",negative,
2024-09-26,"Musk Was Right... OpenAI Shuts-Down Non-Profit Control, CTO Exits",negative,
2024-09-26,Blackstone Signals Deal Exits Will Remain Muted This Quarter,negative,
2024-09-26,USPS Changes Will Slow Rural Delivery,negative,
2024-09-26,"It’s a bad time for Mira Murati to exit, as OpenAI refocuses on profitability",negative,
2024-09-26,Zai Lab's Growth Strategy And China's Policy Reforms Set Path For Profitability By 2025,positive,
2024-09-26,Darden Restaurants: Partnership With Uber Could Bring Incremental Sales,positive,
2024-09-26,Macro Briefing: 25 September 2024,neutral,
2024-09-26,Home Insurance Rates are Rising Fast,negative,
2024-09-26,MBA: Mortgage Applications Increased in Weekly Survey,positive,
2024-09-26,US Still On Track To Avoid Recession In Q3,positive,
2024-09-26,Congress Calls for Extension of Enhanced Premium Tax Credits,positive,
2024-09-26,Bar semiconductor producers who receive government subsidies from stock buybacks,negative,
2024-09-26,Hoot of the Day: The Fed Predicts an Immaculate Soft Landing,positive,
2024-09-26,At the Money: Why Stocks Are Your Best Bet for the Long Run,positive,
2024-09-26,Personal finance links: assessing your financial situation,neutral,
2024-09-26,"New Home Sales Decrease to 716,000 Annual Rate in August",negative,
2024-09-26,"New Home Sales Decrease to 716,000 Annual Rate in August; Median New Home Price is Down 9% from the Peak",negative,
2024-09-26,99 College Campuses Closed Over the Past Year - Is Yours Next?,negative,
2024-09-26,Pure Storage's Stock: Evaluating The Buy Opportunity's Post-Earnings Dip,neutral,
2024-09-26,Personal Bests and The Power of Alone Time and Data,positive,
2024-09-26,Home Builders Are Sitting on a Lot of Supply they Struggle to Sell,negative,
2024-09-26,Bank Of America: Revealing Buffett's Likely Selling Motives,neutral,
2024-09-26,Wednesday links: narrative fallacies,neutral,
2024-09-26,ICE: Mortgage Delinquency Rate Decreased in August,positive,
2024-09-26,"Rebalancing of the Housing Market Continues, as New Home Sales and Existing Home Prices are Consistent with the “Soft landing”",positive,
2024-09-26,'Incidental Income' Makes Dividend Investing Unnecessary In Retirement,negative,
2024-09-26,"Trump Threatens John Deere With 200 Percent Tariffs, Farmers Would Be Hurt",negative,
2024-09-26,Russell 2000 ($IWM) Morphs Into Double Top,negative,
2024-09-26,Federal Judge Temporarily Blocks Enforcement of San Diego's Offensive Speech Ordinance,positive,
2024-09-26,Energy Secretary Granholm Emphasizes Need For Small Modular Reactors To Power AI Data Centers,positive,
2024-09-26,"Thursday: GDP, Unemployment Claims, Durable Goods, Fed Chair Powell, Pending Home Sales",neutral,
2024-09-26,Spain’s Europastry Said to Plan IPO Launch as Soon as Thursday,neutral,
2024-09-26,High Survey Nonresponse Rates May Affect Monthly Jobs Report,negative,
2024-09-26,"Microsoft's new AI safety tool finds, fixes errors: R 'Ray' Wang",positive,
2024-09-26,Wall Street just got another sign that dealmaking is on its way back,positive,
2024-09-26,Arbitration board gives green light to US Steel-Nippon Steel merger over union's objections,neutral,
2024-09-26,Vistra’s stock is up more than 200% this year. Could more gains could be ahead?,positive,
2024-09-26,"S&P 500, Dow close lower as investors await insights on Fed rates, data",negative,
2024-09-26,Pfizer yanks sickle-cell treatment worldwide after possible link to deaths,negative,
2024-09-26,Dollar General asks shareholders to reject investment firm’s stock-purchase offer,negative,
2024-09-26,"Stock Market News, Sept. 25, 2024: Dow Falls After Chinese Shares Rally Again",negative,
2024-09-26,Gas-mask maker Dräger joins companies banning products from being used in death-penalty supply chain,positive,
2024-09-26,Dow futures are little changed after index breaks four-day winning run,neutral,
2024-09-26,A port strike could be an economic ‘tsunami’ affecting these sectors,negative,
2024-09-26,Harris’s Economic Pitch: Capitalism for the Middle Class,positive,
2024-09-26,ADP Nears $1.2 Billion Deal for WorkForce Software,positive,
2024-09-26,No trust is set in stone. Even irrevocable trusts can have some wiggle room.,neutral,
2024-09-26,"Intel has had a wild week, and it may not slow down soon",neutral,
2024-09-26,A Trader’s Guide to Japan’s Ruling Party Leadership Election,neutral,
2024-09-26,India Gold Demand Buoyed by Import Tax Cut Before Wedding Season,positive,
2024-09-26,Elon Musk not invited to top UK investment summit,negative,
2024-09-26,Australia's lithium mining boom hit by sagging prices,negative,
2024-09-26,Oil Holds Sharp Decline on Signs Libya May Resume Production,negative,
2024-09-26,MBK Raises Korea Zinc Offer Price to Attract More Investors,positive,
2024-09-26,"Mira Murati, Chief Technology Officer at OpenAI, to Leave Company",negative,
2024-09-26,China Market Support May Fizzle Out If Key Issues Remain Unsolved,negative,
2024-09-26,Stocks are poised for something that hasn’t happened since the days of the dot-com bubble,neutral,
2024-09-26,A housing revolution is promised – can it be delivered?,neutral,
2024-09-26,Invesco Sees Japan’s Small-Caps Paying Off in Unstable Times,positive,
2024-09-26,Tech Stocks Lift Asian Equities to Two-Year High: Markets Wrap,positive,
2024-09-26,"Man Group Defies China Skeptics, Expects Stock Rally to Sustain",positive,
2024-09-26,Australian Regulators Working With Banks to Monitor AI Adoption,positive,
2024-09-26,Strength of US economy continues to shine globally: Lynn Martin,positive,
2024-09-26,Exxon Paid More Tax to UAE Than Any Other Country in 2023,neutral,
2024-09-26,IMF approves $7bn loan to cash-strapped Pakistan,positive,
2024-09-26,NY Climate Protesters Interrupt Occidental CEO at Conference,negative,
2024-09-26,Fed Rate Cut Paves the Way for Banks to Exit Emergency Facility,positive,
2024-09-26,Harris says she will offer tax credits for new union jobs,positive,
2024-09-26,Micron earnings preview: Wall Street will get a glimpse into what's ahead for US chipmakers,neutral,
2024-09-26,Robert Greenway on US election: Iran has already made their decision on who's better,neutral,
2024-09-26,"US gambling market will balloon to more than $60 billion by 2030, FanDuel owner Flutter says",positive,
2024-09-26,Hedge Funds Snap Up Chinese Equities on Stimulus Optimism,positive,
2024-09-26,Stock rally stumbles as Dow S&P slip,negative,
2024-09-26,Nvidia jumps amid bullish report,positive,
2024-09-26,What products would be disrupted by a port strike?,neutral,
2024-09-26,"Potential east coast, gulf ports strike could come next week",negative,
2024-09-26,Buffalo Bills Fans Snap Up Stadium Bonds in Tax-Shy New York,positive,
2024-09-26,Cerebras Systems Targets Raising Up to $1 Billion in IPO,positive,
2024-09-26,Fed cut 50 basis points to help small businesses: Michael Kantrowitz,positive,
2024-09-26,Colombia and Panama Plan a Legal Jungle Route for Migrants to US,neutral,
2024-09-26,Mortgage rate plunge fuels surge in refinancing,positive,
2024-09-26,Chicago Mayor Seeks Approval for $1.5 Billion Debt Refinancing,neutral,
2024-09-26,S&P 500 Snaps Two-Day Climb With Fed in Focus: Markets Wrap,neutral,
2024-09-26,NYC Pensions Invest in Fund Managed by Ex-Comptroller’s Firm,neutral,
2024-09-26,"Stock rally loses steam as Dow, S&P 500 slip from records",negative,
2024-09-26,"OpenAI to end nonprofit control, give Altman equity, sources say",negative,
2024-09-26,"Micron surprises investors with strong guidance, sending stock soaring",positive,
2024-09-26,Powell Emerges Stronger After Leading Fed to Big Rate Cut,positive,
2024-09-26,Boeing staff report pressure to lower standards,negative,
2024-09-26,Shippers scramble as workers threaten East Coast port strike,negative,
2024-09-26,Fed’s Kugler Says She ‘Strongly Supported’ Half-Point Rate Cut,positive,
2024-09-26,Nancy Pelosi's husband sold more than $500K in Visa stock ahead of DOJ action,negative,
2024-09-26,"AI trend is in place, it's just moving slower than Wall Street expected: Dan",neutral,
2024-09-26,Telegram agrees to give up data to governments after CEO's arrest,negative,
2024-09-25,Gold Holds Near Record High as US Data Support Deeper Rate Cuts,positive,
2024-09-25,"Oil Holds Gain With Mideast Conflict, China Stimulus in Focus",neutral,
2024-09-25,Cash-Rich Middle East Firms Drive Record Investment Into China,positive,
2024-09-25,Yuan Strengthens Past 7 Per Dollar for First Time Since May 2023,positive,
2024-09-25,Japan’s Kioxia Postpones Plans for IPO as Chip Stocks Slide,negative,
2024-09-25,Malaysia Takes the Limelight as Singapore Firms Look North for Listings,positive,
2024-09-25,"Hong Kong Stock Rally Likely Driven by Short Covering, JPM Says",neutral,
2024-09-25,Hong Kong Plans to Cut Tax on Spirits in Bid to Revive Nightlife,positive,
2024-09-25,Baht Rises to Strongest Since March 2022 Amid Exporters Worries,neutral,
2024-09-25,"Argentina may combine final two IMF reviews before new talks, Bloomberg News reports",neutral,
2024-09-25,Breitling CEO ‘Quite Confident’ Luxury Industry Has Hit Bottom,positive,
2024-09-25,"Asian Stocks, Currencies Rise on China Optimism: Markets Wrap",positive,
2024-09-25,"Morning Bid: China fires 'bigger guns, but still no bazooka'",neutral,
2024-09-25,Stock-market indicator with a near-perfect track record is flashing a ‘buy’ signal,positive,
2024-09-25,Rich Chinese Chase 22% Yields in Private Credit Despite Risks,negative,
2024-09-25,Aussie Dollar Rises to Highest Since February 2023 Ahead of CPI,positive,
2024-09-25,Will the US presidential election define the future of crypto?,neutral,
2024-09-25,"Vista, Blackstone buying software maker Smartsheet for about $8.4 billion",positive,
2024-09-25,Nike and Sky ads banned over online tactics,negative,
2024-09-25,Buffett Whittles Bank of America Stake to 10.5% With $863 Million Disposal,neutral,
2024-09-25,Buy Calls Are Slowly Vanishing From India’s Booming Stock Market,negative,
2024-09-25,Trump's trade protectionism keeps intensifying,negative,
2024-09-25,Here's how much Nvidia stock CEO Huang has sold lately,neutral,
2024-09-25,Coca-Cola pulls newest 'permanent' flavor from stores,negative,
2024-09-25,Amentum to replace Bath & Body Works on S&P 500,neutral,
2024-09-25,Fonterra Raises Dividend to Soften Blow From Lower NZ Milk Price,neutral,
2024-09-25,LARRY KUDLOW: Trump's new American industrialism ties a bow around all of his pro-growth policies,positive,
2024-09-25,Billionaire warns interest on debt topping defense spending a sign 'the country is in trouble',negative,
2024-09-25,"Stock futures are little changed after Dow, S&P 500 hit record highs",neutral,
2024-09-25,US accuses Visa of debit card monopoly,negative,
2024-09-25,Small caps typically benefit from Fed cuts rates: Roosevelt Bowman,positive,
2024-09-25,China’s National Team ETFs See Inflows Pick Up as Stocks Surge,positive,
2024-09-25,"AI’s Power Needs Haven’t Boosted Offshore Wind, Orsted Says",negative,
2024-09-25,Veeva Systems: SMB Sector Is Growing Momentum,positive,
2024-09-25,Wayfair Sells $800 Million of Bonds in High-Yield Market Debut,positive,
2024-09-25,Revised U.S. News college ranking system still fails to help families find the best deals in higher education,negative,
2024-09-25,How Caroline Ellison almost avoided prison in the criminal collapse of FTX,negative,
2024-09-25,"Stitch Fix forecast sinks stock, as CEO says ‘there is a lot of work’ for turnaround",negative,
2024-09-25,US accuses Visa of monopoly that impacts price of 'everything',negative,
2024-09-25,"Stock Market News, Sept. 24, 2024: Indexes Climb; Chinese Shares Surge on Stimulus Blitz",positive,
2024-09-25,Heard on the Street's Stock-Picking Series,neutral,
2024-09-25,Starbucks CEO Vows to Bargain ‘Constructively’ With Union,positive,
2024-09-25,CrowdStrike boss apologises for global IT outage,negative,
2024-09-25,ECB’s Knot Sees Gradual Rate Cuts Through First Half of 2025,neutral,
