Date,Headline,Sentiment,Predicted Sentiment
2024-09-24,Stocks Rally as China Stimulus Spurs Risk Appetite: Markets Wrap,positive,
2024-09-24,Customers 'forced' to take part in water  trial,negative,
2024-09-24,"Private Credit Faces Worst Reckoning Since ‘08, NY Life CIO Says",negative,
2024-09-24,Canada And Europe Dominate US Foreign Land Ownership,neutral,
2024-09-24,Shell Abandons Norway's Hydrogen Projects Due To Lack Of Demand,negative,
2024-09-24,Goldman Strategists Say Growth Is Key Risk for European Stocks,negative,
2024-09-24,China’s stock market surges as central bank unleashes biggest stimulus since pandemic,positive,
2024-09-24,"US grocery stores could be without popular fruit within weeks as 45,000 dockworkers threaten to strike",negative,
2024-09-24,Spain to Sell 12-Year Inflation-Linked Bonds Through Syndication,neutral,
2024-09-24,"Toyota Raises Buyback to ¥1.2 Trillion, Citing Share Levels",positive,
2024-09-24,Asia stocks scale 2-1/2-year peak on China's expansive stimulus measures,positive,
2024-09-24,"Morning Bid: No bazooka, but China's latest stimulus is a relief",positive,
2024-09-24,The Excitement Around Kewaunee Scientific Corporation's Business Turnaround Is Dying Out,negative,
2024-09-24,Nerdy: 3 Reasons To Buy This Speculative Edtech Play,positive,
2024-09-24,"France's Macron Calls For End Of ""Incomplete & Unjust"" World Order",negative,
2024-09-24,"EVs Are ""Up To Twice As Expensive"" To Run As Regular Gas Cars In The UK, New Data Finds",negative,
2024-09-24,"Russia's Oil Flows Slump, Driving Earnings to an Eight-Month Low",negative,
2024-09-24,Dangote’s ‘Monster’ Refinery Fuels Fight over Gasoline Subsidies,neutral,
2024-09-24,French Assets Risk Fresh Losses From Renewed Political Turmoil,negative,
2024-09-24,Revised U.S. News college rankings still fail to help families find the best deal on higher education,negative,
2024-09-24,China Cuts Interest Rates and Mortgage Down Payments,positive,
2024-09-24,Chinese Stocks Rally Most in Seven Months on Stimulus Blitz,positive,
2024-09-24,Vietnam Ex-Government Accountant Sentenced to Death for Theft,negative,
2024-09-24,Why The EU Is Falling Behind In The Global AI Race,negative,
2024-09-24,"Indonesia May Review Free Float Rule on Barito Drop, Kontan Says",neutral,
2024-09-24,European Stocks Rally as China Spurs Risk Appetite: Markets Wrap,positive,
2024-09-24,Nippon Steel's Mori asks USW leadership to 'come to the table',neutral,
2024-09-24,"Tech, Industrials Dominate Korea’s New Value-Up Index",positive,
2024-09-24,Traders Bring ECB October Rate Cut Into Play as Outlook Darkens,negative,
2024-09-24,European Shares Advance Toward Record on China Economy Stimulus,positive,
2024-09-24,Landlord SBB Plans Housing Unit IPO as Real-Estate Market Thaws,positive,
2024-09-24,China releases blitz of stimulus to revive its economy,positive,
2024-09-24,"Paintmaker Akzo Nobel to Slash 2,000 Jobs in Cost-Cutting Drive",negative,
2024-09-24,HSBC AM Launches NAV Financing Strategy With €1 Billion Target,positive,
2024-09-24,Aramco Taps Debt Markets for Second Dollar-Bond Sale This Year,neutral,
2024-09-24,China unveils raft of measures to boost economy,positive,
2024-09-23,"US Border Agents Find RPGs & IEDs Near Southern Border Amid ""Internal Alert"" Of ""Drastic Escalation"" In Weaponry Used By Cartels",negative,
2024-09-23,Japanese F-15s Fire Warning Flares After Russian Spy Plane Violates Airspace 3 Times,negative,
2024-09-23,Our greatest existential threat is irresponsible funding: Rep. Cory Mills,negative,
2024-09-23,Your Tax Dollars At Work: San Fran Cops Dress Up As Inflatable Chicken To Catch Speeding Drivers,negative,
2024-09-23,The Madness Of Antony Blinken,negative,
2024-09-23,Home prices are about to go 'even higher' after Fed rate cut,positive,
2024-09-23,John Rogers on the Art of Security Selection,neutral,
2024-09-23,Applied Nutrition Seeks London IPO as Soon as October,positive,
2024-09-23,Apollo’s Atlas SP Gets License to Start Secondary Trading,positive,
2024-09-23,"Goldman Commodity Traders: Gold Buying On Our Desk Has Been Relentless, And Silver Is Starting To Move Too",positive,
2024-09-23,Money Markets Shy Away from Longer-Term T-Bills Despite Rate Cut,negative,
2024-09-23,Stocks nudge higher in watch for rate-cut clues,positive,
2024-09-23,The economy looks 'healthy' — but new 'headwinds' are looming,neutral,
2024-09-23,Harris vows to 'encourage' crypto in speech to Wall Street donors,positive,
2024-09-23,Investors are gravitating to value stocks after Fed rate cut: Sam Stovall,positive,
2024-09-23,GM stock drops on Bernstein downgrade. The problem: 'Earnings headwinds' and cost concerns.,negative,
2024-09-23,"Investors clinging to cash face these two risks as the Fed cuts interest rates, researchers say",negative,
2024-09-23,"If America wants to win AI war it must embrace nuclear, fossil fuels: Daniel Turner",neutral,
2024-09-23,"Tesla stock up on bullish sales forecast, robotaxi unveiling looms",positive,
2024-09-23,Young America Is Right To Reject Traditional News,negative,
2024-09-23,Will Rate Cuts Herald a Crash (Again)?,negative,
2024-09-23,"Tuesday: Case-Shiller House Prices, Richmond Fed Mfg",neutral,
2024-09-23,"Transcript: Victor Khosla, Strategic Value Partners",neutral,
